FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
ARDEIDAE,NYCVI,Nyctanassa violacea,Huaco de corona amarilla,R,,,,,,,,,,0
ARDEIDAE,BUTST,Butorides striata,Garza tamanquita,R,7,1,,,,,,1,,9
ARDEIDAE,BUBIB,Bubulcus ibis,Garza bueyera,R,,8,,,,,,,,8
ARDEIDAE,ARDCO,Ardea cocoi,Garza cuca,Ma,,,,,,,,,,0
ARDEIDAE,ARDAL,Ardea alba,Garza grande,R,,1,3,,1,,,13,,18
ARDEIDAE,EGRTR,Egretta tricolor,"Garza Pechiblanca, Garza tricolor",Ml,,,,,,,,,,0
ARDEIDAE,EGRTH,Egretta thula,Garza blanca chica,R,57,13,14,1,2,1,,,,88
ARDEIDAE,EGRCA,Egretta caerulea,Garza azul,R,,,,,,,,,,0
THRESKIONITHIDAE,PLERI,Plegadis ridgwayi,Yanavico,R,,83,1,1,,,,,,85
THRESKIONITHIDAE,THEME,Theristicus melanopis,Bandurria de Cara Negra,Acc,,,,,,,,,,0
THRESKIONITHIDAE,PLAAJ,Platalea ajaja,Espatula rosada,Acc,,,,,,,,,,0
CATHARTIDAE,CORAT,Coragyps atratus,Gallinazo cabeza negra,R,15,54,34,10,2,,46,15,222,398
CATHARTIDAE,CATAU,Cathartes aura,Gallinazo cabeza roja,Ml,,,,,1,,,,,1
PANDIONIDAE,PANHA,Pandion haliaetus,Águila pescadora,Mb,,,,,,,,,,0
ACCIPITRIDAE,CIRCI,Circus cinereus,Gavilán cenizo,Ml,,,,,,,,,,0
ACCIPITRIDAE,BUTME,Buteogallus meridionalis,Gavilán de campo,Ma,,,,,,,,,,0
ACCIPITRIDAE,PARUN,Parabuteo unicinctus,Gavilán oscuro acanalado,R,,1,,,,,2,2,,5
ACCIPITRIDAE,GERPO,Geranoaetus polyosoma,Aguilucho comun,Ml,,,,,,,,,,0
ACCIPITRIDAE,GERME,Geranoaetus melanoleucus,Aguilucho grande,Ma,,,,,,,,,,0
ACCIPITRIDAE,BUTPL,Buteo platypterus,Aguilucho de ala ancha,Mb,,,,,,,,,,0
TYTONIDAE,TYTAL,Tyto alba,Lechuza de los campanarios,R,,,,,,,,,,0
STRIGIDAE,ATHCU,Athene cunicularia,Lechuza de los arenales,R,,,,,,,5,,,5
STRIGIDAE,ASIFL,Asio flammeus,Lechuza de Oreja Corta,Acc,,,,,,,,,,0
ALCEDINIDAE,CHLAM,Chloroceryle americana,Martín pescador,Ml,,,,,,,,,,0
FALCONIDAE,CARPL,Caracara plancus,Carancho,Acc,,,,,,,,,,0
FALCONIDAE,MILCH,Milvago chimachima,Cara cara cabeza amarilla,Acc,,,,,,,,,,0
FALCONIDAE,FALSP,Falco sparverius,Cernícalo,R,,1,,1,,,1,3,2,8
FALCONIDAE,FALFE,Falco femoralis,"Halcón aplomado, Halcón perdiguero",Ma,,,,,,,,,,0
FALCONIDAE,FALPE,Falco peregrinus,Halcón Peregrino,Mb,,,,,,,,,,0
PSITTACIDAE,BROVE,Brotogeris versicolorus,"Pihuicho, Perico ala blanca",Ml,,,,,,,,,,0
PSITTACIDAE,FORCO,Forpus coelestis,Perico esmeralda,Ml,,,,,,,,,,0
PSITTACIDAE,PSIWA,Psittacara wagleri,Cotorra de wagler,Ml,,,,,,,,,,0
PSITTACIDAE,PSIER,Psittacara erythrogenys,Cotorra cabeza roja,Ml,,,,,,,,,,0
FURNARIIDAE,GEOPE,Geositta peruviana,Pampero peruano,Ml,,,,,,,,,,0
FURNARIIDAE,PHLME,Phleocryptes melanops,Totorero,R,16,4,,4,3,,,5,,32
TYRANNIDAE,CAMOB,Camptostoma obsoletum,Mosqueta silbadora,R,,,,,,,,,,0
TYRANNIDAE,TACRU,Tachuris rubrigastra,Siete colores de la totora,R,,5,,,3,,2,,,10
TYRANNIDAE,MYIFA,Myiophobus fasciatus,Mosqueta modesta,Ml,,,,,,,,,,0
TYRANNIDAE,PYRRU,Pyrocephalus rubinus,"Turtupillín, putilla",R,,,,1,1,,4,,5,11
TYRANNIDAE,LESOR,Lessonia oreas,Negrito,R,,,,,,,,,,0
TYRANNIDAE,MUSMA,Muscisaxicola maclovianus,Dormilona cabeza oscura,Ml,,,,,,,,,,0
TYRANNIDAE,MUSBR,Muscigralla brevicauda,Dormilona cola corta,R,,,,,,,,,,0
TYRANNIDAE,TYRME,Tyrannus melancholicus,Tirano tropical o pepite,R,,,,1,,,1,,,2
TYRANNIDAE,TYRSA,Tyrannus savana,Atrapamoscas cola de tijera,Acc,,,,,,,,,,0
TYRANNIDAE,TYRTY,Tyrannus tyrannus,Atrapamoscas migratorio,Mb,,,,,,,,,,0
CORVIDAE,CYAMY,Cyanocorax mystacalis,Urraca,Acc,,,,,,,,,,0
HIRUNDINIDAE,PYGCY,Pygochelidon cyanoleuca,Santa Rosita,R,,,,,,,16,18,3,37
HIRUNDINIDAE,PROTA,Progne tapera,Martin pechipardo,Acc,,,,,,,,,,0
HIRUNDINIDAE,PROSU,Progne subis,Golondrina purpúrea,Mb,,,,,,,,,,0
HIRUNDINIDAE,PROEL,Progne elegans,"Golondrina negra, Golondrina del Sur",Acc,,,,,,,,,,0
HIRUNDINIDAE,RIPRI,Riparia riparia,Golondrina ribereña,Ma,,,,,,,,,,0
HIRUNDINIDAE,HIRRU,Hirundo rustica,Golondrina migratoria,Mb,,,,,2,,,,,2
HIRUNDINIDAE,PETRU,Petrochelidon rufocollaris,Golondrina de cuello castaño,Ml,,,,,,,,,,0
TROGLODYTIDAE,TROAE,Troglodytes aedon,Cucarachero,R,1,4,,,,,3,1,6,15
TURDIDAE,TURCH,Turdus chiguanco,"Chiguanco, zorzal",Ml,,,,,,,,,,0
MIMIDAE,MIMLO,Mimus longicaudatus,Chisco,R,,,,,1,,4,,4,9
MOTACILLIDAE,ANTPE,Anthus peruvianus,"Chichirre, cachirla amarilla",R,,,,,,,,,,0
THRAUPIDAE,CONCI,Conirostrum cinereum,Mielerito gris,R,,,,,,,,,,0
THRAUPIDAE,SICFL,Sicalis flaveola,"Botón de oro, Chirigüe azafranado",Ml,,,,,,,,,,0
THRAUPIDAE,SICLU,Sicalis luteola,Triguero común,R,,4,,,,,3,24,,31
THRAUPIDAE,SICRA,Sicalis raimondii,"Trile bajoandino, Chirigüe de Raimondi",Ml,,,,,,,,,,0
THRAUPIDAE,VOLJA,Volatinia jacarina,Saltapalito,R,6,,,,,,,1,4,11
THRAUPIDAE,SPOPE,Sporophila peruviana,Espiguero pico de loro,Ml,,,,,,,,,,0
THRAUPIDAE,SPOTE,Sporophila telasco,Espiguero corbatón,Ml,,,,,,,3,4,,7
THRAUPIDAE,SPOSI,Sporophila simplex,Espiguero simple,Ml,,,,,,,,,,0
THRAUPIDAE,SALST,Saltator striatipectus,Saltador listado,Ml,,,,,,,,,,0
THRAUPIDAE,COEFL,Coereba flaveola,Mielerito,Ml,,,,,,,,,,0
THRAUPIDAE,THREP,Thraupis episcopus,"Violinista celeste, Luisa",Ml,,,,,,,,,3,3
THRAUPIDAE,THRPA,Thraupis palmarum,"Violinista verde, Violinista de Palmer",Acc,,,,,,,,,,0
EMBERIZIDAE,ZONCA,Zonotrichia capensis,"Gorrión americano, Pichisanka, Chingolo",R,,,,,,,,,,0
ICTERIDAE,DIVWA,Dives warszewiczi,"Tordo grande, tordo negro",Ml,2,6,,3,7,,4,,,22
ICTERIDAE,MOLBO,Molothrus bonariensis,Tordo parásito,R,,,,,,,,,1,1
ICTERIDAE,CHRIC,Chrysomus icterocephalus,Tordo amazónico cabeza amarilla,R,1,1,,,1,,14,,2,19
ICTERIDAE,STURBE,Sturnella bellicosa,"Huanchaco, Pecho colorado",R,,2,,,,,6,4,,12
FRINGILLIDAE,SPIMA,Spinus magellanicus,Jilguero cabeza negra,R,,,,,,,,,,0
PASSERIDAE,PASDO,Passer domesticus,Gorrion europeo,R,,,,,,,,,36,36
