FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
LARIDAE,THAEL,Thalasseus elegans,Gaviotín elegante,Mb,,,,,,,,,,0
LARIDAE,THASA,Thalasseus sandvicensis,Gaviotín patas negras,Mb,,,,,,,,,,0
LARIDAE,THAMA,Thalasseus maximus,Gaviotín real,Mb,,,,,,,,,,0
SPHENISCIDAE,SPHHU,Spheniscus humboldti,Pingüino de humboldt,S,,,,,,,,,,0
DIOMEDEIDAE,PHOIR,Phoebastria  irrorata,Albatros de las galápagos,Mb,,,,,,,,,,0
PROCELLARIIDAE,MACGI,Macronectes giganteus,Petrel gigante antártico,S,,,,,,,,,,0
PROCELLARIIDAE,DAPCA,Daption capense,Petrel damero,S,,,,,,,,,,0
PROCELLARIIDAE,PACBE,Pachyptila belcheri,Petrel azul picofino,S,,,,,,,,,,0
PROCELLARIIDAE,PUFGR,Ardenna grisea,Pardela oscura,S,,,,,,,,,,0
PROCELLARIIDAE,PELGA,Pelecanoides garnotii,Potoyunco Peruano,Acc,,,,,,,,,,
HYDROBATIDAE,OCEOC,Oceanites oceanicus,Golondrina de mar de wilson,S,,,,,,,,,,0
HYDROBATIDAE,OCEMA,Oceanodroma markhami,Golondrina de mar de Markham,S,,,,,,,,,,0
HYDROBATIDAE,OCEHO,Oceanodroma hornbyi,Golondrina de mar de collar,Ma,,,,,,,,,,0
CICONIIDAE,JABMI,Jabiru mycteria,Cigüeña jabirú,Acc,,,,,,,,,,
CICONIIDAE,MYCAM,Mycteria americana,Cigüeña gabán,Acc,,,,,,,,,,
FREGATIDAE,FREMA,Fregata magnificens,Avefragata magnifica,Acc,,,,,,,,,,
SULIDAE,SULNE,Sula nebouxii,Piquero de Pata Azul,Mb,,,,,,,,,,0
SULIDAE,SULVA,Sula variegata,Piquero común,Ml,,,,,,43,,,,43
PHALACROCORACIDAE,PHAGA,Phalacrocorax gaimardi,Chuita,Ml,,,,,,,,,,0
PHALACROCORACIDAE,PHABR,Phalacrocorax brasilianus,"Cushuri, cormorán, cuervo de mar",R,1,164,,85,117,,27,,,394
PHALACROCORACIDAE,PHABO,Phalacrocorax boungainvillii,Guanay,Ml,,,,,,10,,,,10
PELECANIDAE,PELOC,Pelecanus occidentalis,Pelícano marrón,Mb,,,,,,,,,,0
PELECANIDAE,PELTH,Pelecanus thagus,Pelícano peruano,Ml,,,,,,7,,,,7
ARDEIDAE,IXOEX,Ixobrychus exilis,Garcita leonada,R,,,,1,,,,2,,3
ARDEIDAE,NYCNY,Nycticorax nycticorax,Garza huaco,R,,17,2,13,5,,,7,,44
ARDEIDAE,NYCVI,Nyctanassa violacea,Huaco de corona amarilla,R,,2,,3,,,,,,5
ARDEIDAE,BUTST,Butorides striata,Garza tamanquita,R,,1,1,,,,,3,,5
ARDEIDAE,BUBIB,Bubulcus ibis,Garza bueyera,R,,660,,,,,,,,660
ARDEIDAE,ARDCO,Ardea cocoi,Garza cuca,Ma,,1,,,,,,,,1
ARDEIDAE,ARDAL,Ardea alba,Garza grande,R,1,3,2,3,,,,,,9
ARDEIDAE,EGRTR,Egretta tricolor,"Garza Pechiblanca, Garza tricolor",Ml,,,,,,,,,1,1
