FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL,OBSERV.
LARIDAE,STEPA,Sterna paradisaea,Gaviota del artico,S,,,,,,,,,,,
LARIDAE,STEHEA,Sterna hirundinacea,Gaviotín sudamericano,Mb,,,,,,,,,,,
LARIDAE,STETR,Sterna trudeaui,Gaviotin corona gris,Mb,,,,,,,,,,,
LARIDAE,THAEL,Thalasseus elegans,Gaviotín elegante,Mb,,,,,1,3,,,,4,
LARIDAE,THASA,Thalasseus sandvicensis,Gaviotín patas negras,Mb,,,,,,,,,,,
LARIDAE,THAMA,Thalasseus maximus,Gaviotín real,Mb,,,,,,,,,,,
SPHENISCIDAE,SPHHU,Spheniscus humboldti,Pingüino de humboldt,S,,,,,,,,,,,
DIOMEDEIDAE,PHOIR,Phoebastria  irrorata,Albatros de las galápagos,Mb,,,,,,,,,,,
PROCELLARIIDAE,MACGI,Macronectes giganteus,Petrel gigante antártico,S,,,,,,,,,,,
PROCELLARIIDAE,DAPCA,Daption capense,Petrel damero,S,,,,,,,,,,,
PROCELLARIIDAE,PACBE,Pachyptila belcheri,Petrel azul picofino,S,,,,,,,,,,,
PROCELLARIIDAE,PUFGR,Ardenna grisea,Pardela oscura,S,,,,,,,,,,,
PROCELLARIIDAE,PELGA,Pelecanoides garnotii,Potoyunco Peruano,Acc,,,,,,,,,,,
HYDROBATIDAE,OCEOC,Oceanites oceanicus,Golondrina de mar de wilson,S,,,,,,,,,,,
HYDROBATIDAE,OCEMA,Oceanodroma markhami,Golondrina de mar de Markham,S,,,,,,,,,,,
HYDROBATIDAE,OCEHO,Oceanodroma hornbyi,Golondrina de mar de collar,Ma,,,,,,,,,,,
CICONIIDAE,JABMI,Jabiru mycteria,Cigüeña jabirú,Acc,,,,,,,,,,,
CICONIIDAE,MYCAM,Mycteria americana,Cigüeña gabán,Acc,,,,,,,,,,,
FREGATIDAE,FREMA,Fregata magnificens,Avefragata magnifica,Acc,,,,,,,,,,,
SULIDAE,SULNE,Sula nebouxii,Piquero de Pata Azul,Mb,,,,,,,,,,,
SULIDAE,SULVA,Sula variegata,Piquero común,Ml,,,,,,3,,,,3,
PHALACROCORACIDAE,PHAGA,Phalacrocorax gaimardi,Chuita,Ml,,,,,,,,,,,
PHALACROCORACIDAE,PHABR,Phalacrocorax brasilianus,"Cushuri, cormorán, cuervo de mar",R,2,47,26,20,55,5,54,,,209,
PHALACROCORACIDAE,PHABO,Phalacrocorax boungainvillii,Guanay,Ml,,,,,,120,,,,120,
PELECANIDAE,PELOC,Pelecanus occidentalis,Pelícano marrón,Mb,,,,,,,,,,,
PELECANIDAE,PELTH,Pelecanus thagus,Pelícano peruano,Ml,,,,,,56,,,,56,
ARDEIDAE,IXOEX,Ixobrychus exilis,Garcita leonada,R,,,,,,,,1,,1,
ARDEIDAE,NYCNY,Nycticorax nycticorax,Garza huaco,R,1,18,1,5,2,,,8,1,36,
ARDEIDAE,NYCVI,Nyctanassa violacea,Huaco de corona amarilla,R,,,,,,,,,,,
ARDEIDAE,BUTST,Butorides striata,Garza tamanquita,R,2,3,,1,,,,1,,7,
ARDEIDAE,BUBIB,Bubulcus ibis,Garza bueyera,R,,42,,,,,,,14,56,
ARDEIDAE,ARDCO,Ardea cocoi,Garza cuca,Ma,,,,,,,,,,,
ARDEIDAE,ARDAL,Ardea alba,Garza grande,R,14,1,7,1,7,,1,1,,,
ARDEIDAE,EGRTR,Egretta tricolor,"Garza Pechiblanca, Garza tricolor",Ml,,,,,,,,,,,
ARDEIDAE,EGRTH,Egretta thula,Garza blanca chica,R,37,,,,21,10,,1,1,70,
ARDEIDAE,EGRCA,Egretta caerulea,Garza azul,R,1,,,,,,,,,,
THRESKIONITHIDAE,PLERI,Plegadis ridgwayi,Yanavico,R,,62,,,,,,,,62,
THRESKIONITHIDAE,THEME,Theristicus melanopis,Bandurria de Cara Negra,Acc,,,,,,,,,,,
THRESKIONITHIDAE,PLAAJ,Platalea ajaja,Espatula rosada,Acc,,,,,1,,,,,1,
CATHARTIDAE,CORAT,Coragyps atratus,Gallinazo cabeza negra,R,1,61,,3,4,,19,,304,392,
CATHARTIDAE,CATAU,Cathartes aura,Gallinazo cabeza roja,Ml,,,,,,,,,,,
PANDIONIDAE,PANHA,Pandion haliaetus,Águila pescadora,Mb,,,,,,,,,,,
ACCIPITRIDAE,CIRCI,Circus cinereus,Gavilán cenizo,Ml,,,,,,,,,,,
ACCIPITRIDAE,BUTME,Buteogallus meridionalis,Gavilán de campo,Ma,,,,,,,,,,,
ACCIPITRIDAE,PARUN,Parabuteo unicinctus,Gavilán oscuro acanalado,R,1,1,,,,,2,1,1,6,
ACCIPITRIDAE,GERPO,Geranoaetus polyosoma,Aguilucho comun,Ml,,,,,,,,,,,
ACCIPITRIDAE,GERME,Geranoaetus melanoleucus,Aguilucho grande,Ma,,,,,,,,,,,
ACCIPITRIDAE,BUTPL,Buteo platypterus,Aguilucho de ala ancha,Mb,,,,,,,,,,,
TYTONIDAE,TYTAL,Tyto alba,Lechuza de los campanarios,R,,,,,,,,,,,
STRIGIDAE,ATHCU,Athene cunicularia,Lechuza de los arenales,R,,,,,,,4,,,4,
