FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
SCOLOPACIDAE,TRIFL,Tringa flavipes,Pata amarilla menor,Mb,,,,13,,,,,,13
THINOCORIDAE,THIRU,Thinocorus rumicivorus,Agachona chica,Ma,,,,,,,,,,
STERCORAIIDAE,STECH,Stercorarius chilensis,Salteador chileno,S,,,,,,,,,,
STERCORAIIDAE,STEPO,Stercorarius pomarinus,Salteador pomarino,Mb,,,,,,,,,,
STERCORAIIDAE,STEPA,Stercorarius parasiticus,Salteador parásito,Mb,,,,,,,,,,
RHYNCHOPIDAE,RYNNI,Rynchops niger,Rayador,Mb,,,,,100,,,,,100
LARIDAE,CHRSE,Chroicocephalus serranus,Gaviota serrana,Ma,,,,,,,,,,0
LARIDAE,CHRMA,Chroicocephalus maculipennis,Gaviota de capucho café,S,,,,,,,,,,
LARIDAE,CHRCI,Chroicocephalus cirrocephalus,Gaviota capucho gris,R,,20,,21,48,,,,,89
LARIDAE,LEUMO,Leucophaeus modestus,Gaviota gris,S,,,,,,,,,,0
LARIDAE,LEUAR,Leucophaeus atricilla,"Gaviota centroamericana, reidora",Mb,,,,,,,,,,
LARIDAE,LEUPI,Leucophaeus pipixcan,Gaviota de Franklin,Mb,,451,,,,30,,,,481
LARIDAE,LARBE,Larus belcheri,Gaviota peruana,Ml,,,,3,28,,,,,31
LARIDAE,LARDO,Larus dominicanus,Gaviota dominicana,Ml,,2,,,20,,,,,22
LARIDAE,STELO,Sternula lorata,Gaviotín peruano,Ml,,,,,,,,,,
LARIDAE,PHASI,Phaetusa simplex,Gaviotin picudo,Acc,,,,,,,,,,
LARIDAE,GELNI,Gelochelidon nilotica,Gaviotín picogrueso,Mb,,,,,,,,,,
LARIDAE,LARIN,Larosterna inca,Zarcillo,Ml,,,,,,,,,,0
LARIDAE,CHLNI,Chlidonias niger,Gaviotín negro,Mb,,,,,,,,,,
LARIDAE,STEHDO,Sterna hirundo,Gaviotín común,Mb,,,,,,,,,,
LARIDAE,STEPA,Sterna paradisaea,Gaviota del artico,S,,,,,,,,,,
LARIDAE,STEHEA,Sterna hirundinacea,Gaviotín sudamericano,Mb,,,,,,,,,,
LARIDAE,STETR,Sterna trudeaui,Gaviotin corona gris,Mb,,,,,,,,,,
LARIDAE,THAEL,Thalasseus elegans,Gaviotín elegante,Mb,,,,,,,,,,
LARIDAE,THASA,Thalasseus sandvicensis,Gaviotín patas negras,Mb,,,,,,,,,,
LARIDAE,THAMA,Thalasseus maximus,Gaviotín real,Mb,,,,,,,,,,
SPHENISCIDAE,SPHHU,Spheniscus humboldti,Pingüino de humboldt,S,,,,,,,,,,
DIOMEDEIDAE,PHOIR,Phoebastria  irrorata,Albatros de las galápagos,Mb,,,,,,,,,,
PROCELLARIIDAE,MACGI,Macronectes giganteus,Petrel gigante antártico,S,,,,,,,,,,
PROCELLARIIDAE,DAPCA,Daption capense,Petrel damero,S,,,,,,,,,,
PROCELLARIIDAE,PACBE,Pachyptila belcheri,Petrel azul picofino,S,,,,,,,,,,
PROCELLARIIDAE,PUFGR,Ardenna grisea,Pardela oscura,S,,,,,,,,,,
PROCELLARIIDAE,PELGA,Pelecanoides garnotii,Potoyunco Peruano,Acc,,,,,,,,,,
HYDROBATIDAE,OCEOC,Oceanites oceanicus,Golondrina de mar de wilson,S,,,,,,,,,,
HYDROBATIDAE,OCEMA,Oceanodroma markhami,Golondrina de mar de Markham,S,,,,,,,,,,
HYDROBATIDAE,OCEHO,Oceanodroma hornbyi,Golondrina de mar de collar,Ma,,,,,,,,,,
CICONIIDAE,JABMI,Jabiru mycteria,Cigüeña jabirú,Acc,,,,,,,,,,
CICONIIDAE,MYCAM,Mycteria americana,Cigüeña gabán,Acc,,,,,,,,,,
FREGATIDAE,FREMA,Fregata magnificens,Avefragata magnifica,Acc,,,,,,,,,,
SULIDAE,SULNE,Sula nebouxii,Piquero de Pata Azul,Mb,,,,,,,,,,
SULIDAE,SULVA,Sula variegata,Piquero común,Ml,,,,,,1095,,,,1095
PHALACROCORACIDAE,PHAGA,Phalacrocorax gaimardi,Chuita,Ml,,,,,,,,,,0
PHALACROCORACIDAE,PHABR,Phalacrocorax brasilianus,"Cushuri, cormorán, cuervo de mar",R,3,56,8,15,99,,5,,,186
PHALACROCORACIDAE,PHABO,Phalacrocorax boungainvillii,Guanay,Ml,,,,,,20,,,,20
PELECANIDAE,PELOC,Pelecanus occidentalis,Pelícano marrón,Mb,,,,,,,,,,
PELECANIDAE,PELTH,Pelecanus thagus,Pelícano peruano,Ml,,,,,46,159,,,,205
ARDEIDAE,IXOEX,Ixobrychus exilis,Garcita leonada,R,,,,1,,,,,,1
ARDEIDAE,NYCNY,Nycticorax nycticorax,Garza huaco,R,1,24,2,1,4,,,,2,34
ARDEIDAE,NYCVI,Nyctanassa violacea,Huaco de corona amarilla,R,,,,,3,1,,,,4
ARDEIDAE,BUTST,Butorides striata,Garza tamanquita,R,2,1,,,,,,,,3
ARDEIDAE,BUBIB,Bubulcus ibis,Garza bueyera,R,,9,,1,,,,,,10
ARDEIDAE,ARDCO,Ardea cocoi,Garza cuca,Ma,,1,,,,,,,,1
ARDEIDAE,ARDAL,Ardea alba,Garza grande,R,2,5,2,3,1,,3,2,1,19
ARDEIDAE,EGRTR,Egretta tricolor,"Garza Pechiblanca, Garza tricolor",Ml,,,,,,,,,,
ARDEIDAE,EGRTH,Egretta thula,Garza blanca chica,R,1,32,1,,,,,,,34
ARDEIDAE,EGRCA,Egretta caerulea,Garza azul,R,,4,,,2,,1,,,7
THRESKIONITHIDAE,PLERI,Plegadis ridgwayi,Yanavico,R,,56,,1,31,,,,,88
THRESKIONITHIDAE,THEME,Theristicus melanopis,Bandurria de Cara Negra,Acc,,,,,,,,,,
THRESKIONITHIDAE,PLAAJ,Platalea ajaja,Espatula rosada,Acc,,,,,1,,,,,1
CATHARTIDAE,CORAT,Coragyps atratus,Gallinazo cabeza negra,R,9,48,68,26,15,,25,6,210,407
CATHARTIDAE,CATAU,Cathartes aura,Gallinazo cabeza roja,Ml,,,,,,,,,,0
PANDIONIDAE,PANHA,Pandion haliaetus,Águila pescadora,Mb,,,,1,,,,,,1
ACCIPITRIDAE,CIRCI,Circus cinereus,Gavilán cenizo,Ml,,,,,,,,,,
ACCIPITRIDAE,BUTME,Buteogallus meridionalis,Gavilán de campo,Ma,,,,,,,,,,
ACCIPITRIDAE,PARUN,Parabuteo unicinctus,Gavilán oscuro acanalado,R,,1,2,2,1,,3,,1,10
ACCIPITRIDAE,GERPO,Geranoaetus polyosoma,Aguilucho comun,Ml,,,,,,,,,,
ACCIPITRIDAE,GERME,Geranoaetus melanoleucus,Aguilucho grande,Ma,,,,,,,,,,
ACCIPITRIDAE,BUTPL,Buteo platypterus,Aguilucho de ala ancha,Mb,,,,,,,,,,
