FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
CORVIDAE,CYAMY,Cyanocorax mystacalis,Urraca,Acc,,,,,,,,,,0
HIRUNDINIDAE,PYGCY,Pygochelidon cyanoleuca,Santa Rosita,R,9,48,,24,7,,7,12,13,120
HIRUNDINIDAE,PROTA,Progne tapera,Martin pechipardo,Acc,,,,,,,,,,0
HIRUNDINIDAE,PROSU,Progne subis,Golondrina purpúrea,Mb,,,,,,,,,,0
HIRUNDINIDAE,PROEL,Progne elegans,"Golondrina negra, Golondrina del Sur",Acc,,,,,,,,,,0
HIRUNDINIDAE,PROMO,Progne modesta,"Golondrina negra, Golondrina de Galápagos",Acc,,,,,,,,,,0
HIRUNDINIDAE,RIPRI,Riparia riparia,Golondrina ribereña,Ma,,,,,,,,,,0
HIRUNDINIDAE,HIRRU,Hirundo rustica,Golondrina migratoria,Mb,,,,,,,,,,0
HIRUNDINIDAE,PETRU,Petrochelidon rufocollaris,Golondrina de cuello castaño,Ml,,,,,,,,,,0
TROGLODYTIDAE,TROAE,Troglodytes aedon,Cucarachero,R,1,4,4,1,2,,1,8,,21
TURDIDAE,TURCH,Turdus chiguanco,"Chiguanco, zorzal",Ml,,,,,,,,,,0
MIMIDAE,MIMLO,Mimus longicaudatus,Chisco,R,,,,,,,4,,,4
MOTACILLIDAE,ANTPE,Anthus peruvianus,"Chichirre, cachirla amarilla",R,,,,,,,,,,0
THRAUPIDAE,CONCI,Conirostrum cinereum,Mielerito gris,R,,,,,,,,,,0
THRAUPIDAE,SICFL,Sicalis flaveola,"Botón de oro, Chirigüe azafranado",MI,,,,,,,,,,0
THRAUPIDAE,SICLU,Sicalis luteola,Triguero común,R,,,,,1,,,13,,14
THRAUPIDAE,SICRA,Sicalis raimondii,"Trile bajoandino, Chirigüe de Raimondi",Ml,,,,,,,,,,0
THRAUPIDAE,VOLJA,Volatinia jacarina,Saltapalito,R,5,,,,,,,,11,16
THRAUPIDAE,SPOPE,Sporophila peruviana,Espiguero pico de loro,Ml,,,,,,,,,,0
THRAUPIDAE,SPOTE,Sporophila telasco,Espiguero corbatón,Ml,,,,,,,,1,,1
THRAUPIDAE,SPOSI,Sporophila simplex,Espiguero simple,Ml,,,,,,,,,,0
THRAUPIDAE,SALST,Saltator striatipectus,Saltador listado,Ml,,,,,,,,,,0
THRAUPIDAE,COEFL,Coereba flaveola,Mielerito,Ml,,,,,,,,,1,1
THRAUPIDAE,THREP,Thraupis episcopus,"Violinista celeste, Luisa",Ml,,,,,,,,,1,1
THRAUPIDAE,THRPA,Thraupis palmarum,"Violinista verde, Violinista de Palmer",Acc,,,,,,,,,,0
ICTERIDAE,LEIBE,Leistes bellicosa,"Huanchaco, Pecho colorado",R,,,,,,,3,,,3
ICTERIDAE,MOLBO,Molothrus bonariensis,Tordo parásito,R,,,,,,,,,3,3
ICTERIDAE,DIVWA,Dives warszewiczi,"Tordo grande, tordo negro",Ml,2,,,,4,,2,,2,10
ICTERIDAE,CHRIC,Chrysomus icterocephalus,Tordo amazónico cabeza amarilla,R,1,1,,1,3,,6,,,12
FRINGILLIDAE,SPIMA,Spinus magellanicus,Jilguero cabeza negra,R,,,,,,,,,,0
PASSELLERIDAE,ZONCA,Zonotrichia capensis,"Gorrión americano, Pichisanka, Chingolo",R,,,,,,,,,,0
PASSERIDAE,PASDO,Passer domesticus,Gorrion europeo,R,,,,3,,,,,65,68
