FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL,
SULIDAE,SULNE,Sula nebouxii,Piquero de Pata Azul,Mb,,,,,,,,,,,
SULIDAE,SULVA,Sula variegata,Piquero común,Ml,,,,,,146,,,,146,
PHALACROCORACIDAE,PHAGA,Phalacrocorax gaimardi,Chuita,Ml,,,,,,3,,,,3,
PHALACROCORACIDAE,PHABR,Phalacrocorax brasilianus,"Cushuri, cormorán, cuervo de mar",R,3,80,,31,35,1,3,,,153,
PHALACROCORACIDAE,PHABO,Phalacrocorax boungainvillii,Guanay,Ml,,,,,,403,,,,403,
PELECANIDAE,PELOC,Pelecanus occidentalis,Pelícano marrón,Mb,,,,,,,,,,,
PELECANIDAE,PELTH,Pelecanus thagus,Pelícano peruano,Ml,,,,,1,122,,,,123,
ARDEIDAE,IXOEX,Ixobrychus exilis,Garcita leonada,R,,,,1,,,,1,,2,
ARDEIDAE,NYCNY,Nycticorax nycticorax,Garza huaco,R,,12,3,5,,,,12,,32,
ARDEIDAE,NYCVI,Nyctanassa violacea,Huaco de corona amarilla,R,,,1,,1,,,2,,4,
ARDEIDAE,BUTST,Butorides striata,Garza tamanquita,R,1,1,,4,,,,1,,7,
ARDEIDAE,BUBIB,Bubulcus ibis,Garza bueyera,R,,257,,,,,,,5,262,
ARDEIDAE,ARDCO,Ardea cocoi,Garza cuca,Ma,,1,,,,,,,,1,
ARDEIDAE,ARDAL,Ardea alba,Garza grande,R,3,4,2,4,2,,,1,,16,
ARDEIDAE,EGRTR,Egretta tricolor,"Garza Pechiblanca, Garza tricolor",Ml,,,,,,,,,,,
ARDEIDAE,EGRTH,Egretta thula,Garza blanca chica,R,1,3,1,,9,,,,,14,
ARDEIDAE,EGRCA,Egretta caerulea,Garza azul,R,,2,,,5,,1,,,8,
THRESKIONITHIDAE,PLERI,Plegadis ridgwayi,Yanavico,R,,101,1,,1,,,5,,108,
THRESKIONITHIDAE,THEME,Theristicus melanopis,Bandurria de Cara Negra,Acc,,,,,,,,,,,
THRESKIONITHIDAE,PLAAJ,Platalea ajaja,Espatula rosada,Acc,,,,,,,,,,0,
CATHARTIDAE,CORAT,Coragyps atratus,Gallinazo cabeza negra,R,3,66,34,13,2,,59,196,280,653,
CATHARTIDAE,CATAU,Cathartes aura,Gallinazo cabeza roja,Ml,,,,,,,,,,0,
PANDIONIDAE,PANHA,Pandion haliaetus,Águila pescadora,Mb,,,,,,,,,,0,
