FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
PROCELLARIIDAE,PELGA,Pelecanoides garnotii,Potoyunco Peruano,Acc,,,,,,,,,,
HYDROBATIDAE,OCEOC,Oceanites oceanicus,Golondrina de mar de wilson,S,,,,,,,,,,
HYDROBATIDAE,OCEMA,Oceanodroma markhami,Golondrina de mar de Markham,S,,,,,,,,,,
HYDROBATIDAE,OCEHO,Oceanodroma hornbyi,Golondrina de mar de collar,Ma,,,,,,,,,,
CICONIIDAE,JABMI,Jabiru mycteria,Cigüeña jabirú,Acc,,,,,,,,,,
CICONIIDAE,MYCAM,Mycteria americana,Cigüeña gabán,Acc,,,,,,,,,,
FREGATIDAE,FREMA,Fregata magnificens,Avefragata magnifica,Acc,,,,,,,,,,
SULIDAE,SULVA,Sula variegata,Piquero común,Ml,,,,,,,160,,,160
PHALACROCORACIDAE,PHAGA,Phalacrocorax gaimardi,Chuita,Ml,,,,,,,10,,,10
PHALACROCORACIDAE,PHABR,Phalacrocorax brasilianus,"Cushuri, cormorán, cuervo de mar",Ml,2,78,40,65,117,3,6,1,,312
PHALACROCORACIDAE,PHABO,Phalacrocorax boungainvillii,Guanay,Ml,,,,,,1100,,,,1100
PELECANIDAE,PELOC,Pelecanus occidentalis,Pelícano marrón,Mb,,,,,,,,,,
PELECANIDAE,PELTH,Pelecanus thagus,Pelícano peruano,Ml,,,,,,74,,,,74
ARDEIDAE,IXOEX,Ixobrychus exilis,Garcita leonada,R,1,,1,1,,,,,,3
ARDEIDAE,NYCNY,Nycticorax nycticorax,Garza huaco,R,13,,3,4,,,,8,,28
ARDEIDAE,NYCVI,Nyctanassa violacea,Huaco de corona amarilla,R,,2,,,,,,,,2
ARDEIDAE,BUTST,Butorides striata,Garza tamanquita,R,3,4,,2,,,1,1,,11
ARDEIDAE,BUBIB,Bubulcus ibis,Garza bueyera,R,,425,,,,,7,,,432
ARDEIDAE,ARDCO,Ardea cocoi,Garza cuca,Ma,,1,,,,,,,,1
ARDEIDAE,ARDAL,Ardea alba,Garza grande,R,,2,1,1,,,1,1,,6
ARDEIDAE,EGRTR,Egretta tricolor,"Garza Pechiblanca, Garza tricolor",Ml,,,,,,,,,,
ARDEIDAE,EGRTH,Egretta thula,Garza blanca chica,R,2,3,1,3,34,12,9,4,,68
ARDEIDAE,EGRCA,Egretta caerulea,Garza azul,Ml,,2,,1,20,,3,,,26
THRESKIONITHIDAE,PLERI,Plegadis ridgwayi,Yanavico,R,,41,,,,,13,47,,101
THRESKIONITHIDAE,THEME,Theristicus melanopis,Bandurria de Cara Negra,Acc,,1,,,,,,,,1
THRESKIONITHIDAE,PLAAJ,Platalea ajaja,Espatula rosada,Acc,,1,,,,,,,,1
CATHARTIDAE,CORAT,Coragyps atratus,Gallinazo cabeza negra,R,,46,85,4,,,17,4,430,586
CATHARTIDAE,CATAU,Cathartes aura,Gallinazo cabeza roja,R,,,,,,,,,,
PANDIONIDAE,PANHA,Pandion haliaetus,Águila pescadora,Mb,,,,,,,,,,
ACCIPITRIDAE,CIRCI,Circus cinereus,Gavilán cenizo,Ml,,,,,,,,,,
ACCIPITRIDAE,BUTME,Buteogallus meridionalis,Gavilán de campo,Ml,,,,,,,,,,
